Response_ID,Timestamp,Age,Gender,Region,Education_Level,Satisfaction_Score,NPS_Score,Primary_Device,Usage_Frequency,Most_Used_Feature,Feedback_Text
RES_0001,2026-04-13 03:50:08.407799,43.0,Male,Latin America,High School,4.0,2,Smart Watch,Weekly,Pricing,Decent features for the price.
RES_0002,2026-03-22 08:50:08.407799,74.0,Male,ME-Africa,High School,4.0,7,Tablet,Weekly,Pricing,Solid performance.
RES_0003,2026-04-09 15:50:08.407799,64.0,Male,Asia-Pacific,Bachelor,5.0,8,Smart Watch,Monthly,User Interface,Best app I've used this year.
RES_0004,2026-03-22 02:50:08.407799,74.0,Female,Europe,PhD,2.0,2,Tablet,Monthly,Pricing,Slow performance at times.
RES_0005,2026-04-13 04:50:08.407799,,Female,Asia-Pacific,PhD,4.0,2,Desktop,Rarely,User Interface,Solid performance.
RES_0006,2026-03-28 12:50:08.407799,64.0,Female,Europe,High School,3.0,1,Smart Watch,Monthly,Feature Set,Needs more updates.
RES_0007,2026-04-08 23:50:08.408532,73.0,Male,ME-Africa,High School,3.0,7,Desktop,Monthly,Feature Set,"It's okay, does what it needs to do."
RES_0008,2026-03-30 19:50:08.408532,47.0,Female,Europe,Bachelor,3.0,9,Mobile,Daily,Feature Set,Needs more updates.
RES_0009,2026-04-11 23:50:08.408532,60.0,Male,Latin America,Bachelor,5.0,0,Tablet,Rarely,Customer Support,"Love the interface, very intuitive!"
RES_0010,2026-04-17 01:50:08.408532,65.0,Male,North America,Bachelor,5.0,7,Smart Watch,Weekly,Feature Set,Exceeded my expectations.
RES_0011,2026-03-30 21:50:08.408532,34.0,Female,North America,PhD,3.0,6,Desktop,Monthly,Pricing,Average experience.
RES_0012,2026-03-27 11:50:08.408532,43.0,Male,ME-Africa,PhD,,6,Tablet,Weekly,Performance,Customer support was unhelpful.
RES_0013,2026-03-21 17:50:08.408532,53.0,Male,Latin America,PhD,4.0,2,Tablet,Weekly,User Interface,Good experience overall.
RES_0014,2026-04-18 02:50:08.408532,18.0,Male,Asia-Pacific,High School,4.0,0,Mobile,Daily,Customer Support,Solid performance.
RES_0015,2026-04-19 11:50:08.408532,25.0,Male,Latin America,PhD,2.0,3,Mobile,Monthly,Feature Set,A bit frustrated with the glitches.
RES_0016,2026-03-25 01:50:08.408532,66.0,Male,North America,Master,4.0,8,Tablet,Rarely,Feature Set,Good experience overall.
RES_0017,2026-03-22 11:50:08.408532,52.0,Female,North America,Master,4.0,4,Tablet,Monthly,Performance,Good experience overall.
RES_0018,2026-03-26 06:50:08.408532,69.0,Male,Latin America,Bachelor,5.0,0,Smart Watch,Weekly,Performance,Exceeded my expectations.
RES_0019,2026-03-24 13:50:08.408532,32.0,Female,Latin America,PhD,3.0,4,Tablet,Rarely,Customer Support,Average experience.
RES_0020,2026-03-23 07:50:08.408532,64.0,Female,North America,Master,4.0,7,Smart Watch,Monthly,User Interface,Works well but interface could be cleaner.
RES_0021,2026-04-05 08:50:08.408532,73.0,Male,Asia-Pacific,Bachelor,4.0,7,Tablet,Weekly,Feature Set,Works well but interface could be cleaner.
RES_0022,2026-03-21 04:50:08.408909,39.0,Male,ME-Africa,PhD,5.0,4,Mobile,Weekly,Customer Support,"Love the interface, very intuitive!"
RES_0023,2026-04-08 00:50:08.408909,31.0,Male,ME-Africa,High School,4.0,8,Smart Watch,Daily,Pricing,Solid performance.
RES_0024,2026-03-31 20:50:08.408909,,Female,Latin America,Master,4.0,0,Desktop,Daily,Pricing,Good experience overall.
RES_0025,2026-04-15 04:50:08.408909,45.0,Male,ME-Africa,High School,3.0,3,Mobile,Daily,Customer Support,Average experience.
RES_0026,2026-04-13 02:50:08.408909,40.0,Female,North America,PhD,5.0,2,Smart Watch,Weekly,Feature Set,Best app I've used this year.
RES_0027,2026-04-11 16:50:08.408909,31.0,Male,North America,Master,4.0,1,Smart Watch,Monthly,Customer Support,Solid performance.
RES_0028,2026-04-02 19:50:08.408909,41.0,Female,Latin America,PhD,2.0,7,Desktop,Daily,Feature Set,A bit frustrated with the glitches.
RES_0029,2026-03-26 09:50:08.408909,19.0,Male,Latin America,High School,4.0,6,Smart Watch,Monthly,Performance,Decent features for the price.
RES_0030,2026-04-02 14:50:08.408909,62.0,Male,Latin America,Master,3.0,8,Tablet,Daily,Customer Support,Needs more updates.
RES_0031,2026-03-25 02:50:08.408909,43.0,Non-Binary,Asia-Pacific,High School,2.0,1,Desktop,Rarely,Feature Set,Interface is confusing.
RES_0032,2026-04-18 03:50:08.408909,31.0,Female,ME-Africa,PhD,5.0,3,Mobile,Rarely,Customer Support,Exceeded my expectations.
RES_0033,2026-03-23 08:50:08.408909,73.0,Male,Latin America,PhD,4.0,5,Mobile,Daily,Customer Support,Good experience overall.
RES_0034,2026-03-23 16:50:08.408909,68.0,Female,Europe,High School,4.0,10,Tablet,Weekly,Feature Set,Good experience overall.
RES_0035,2026-04-08 15:50:08.408909,24.0,Female,Europe,Master,3.0,2,Mobile,Daily,Feature Set,Average experience.
RES_0036,2026-04-05 20:50:08.408909,20.0,Female,North America,High School,5.0,7,Smart Watch,Daily,User Interface,Best app I've used this year.
RES_0037,2026-04-06 06:50:08.408909,64.0,Female,ME-Africa,PhD,2.0,2,Smart Watch,Weekly,Customer Support,A bit frustrated with the glitches.
RES_0038,2026-04-16 05:50:08.408909,40.0,Male,Latin America,High School,4.0,1,Tablet,Rarely,Pricing,Good experience overall.
RES_0039,2026-04-12 19:50:08.408909,63.0,Male,Europe,PhD,5.0,2,Mobile,Monthly,Customer Support,Best app I've used this year.
RES_0040,2026-04-18 17:50:08.408909,,Male,ME-Africa,High School,5.0,10,Mobile,Daily,Customer Support,"Love the interface, very intuitive!"
RES_0041,2026-03-29 13:50:08.408909,64.0,Female,North America,Master,4.0,5,Tablet,Weekly,Feature Set,Decent features for the price.
RES_0042,2026-04-16 01:50:08.408909,62.0,Female,Asia-Pacific,Master,3.0,1,Desktop,Daily,Customer Support,Average experience.
RES_0043,2026-03-22 05:50:08.408909,35.0,Male,ME-Africa,High School,5.0,7,Mobile,Weekly,Customer Support,"Love the interface, very intuitive!"
RES_0044,2026-03-25 11:50:08.408909,55.0,Male,ME-Africa,High School,4.0,0,Desktop,Monthly,Pricing,Works well but interface could be cleaner.
RES_0045,2026-04-18 13:50:08.408909,52.0,Female,Asia-Pacific,Master,5.0,6,Mobile,Monthly,Feature Set,Exceeded my expectations.
RES_0046,2026-03-21 19:50:08.408909,68.0,Prefer not to say,ME-Africa,PhD,5.0,1,Mobile,Rarely,Customer Support,Best app I've used this year.
RES_0047,2026-04-06 07:50:08.408909,32.0,Female,North America,Master,1.0,9,Mobile,Weekly,Performance,Waste of money.
RES_0048,2026-04-05 15:50:08.408909,42.0,Male,North America,PhD,2.0,5,Mobile,Weekly,User Interface,Slow performance at times.
RES_0049,2026-04-06 00:50:08.408909,72.0,Male,Asia-Pacific,High School,4.0,1,Smart Watch,Rarely,Pricing,Decent features for the price.
RES_0050,2026-03-23 15:50:08.408909,54.0,Male,Latin America,High School,3.0,1,Desktop,Rarely,Customer Support,"It's okay, does what it needs to do."
RES_0051,2026-03-30 07:50:08.408909,45.0,Non-Binary,Europe,PhD,3.0,9,Desktop,Weekly,Performance,Some bugs but manageable.
RES_0052,2026-04-07 05:50:08.408909,27.0,Male,Latin America,High School,5.0,7,Mobile,Rarely,Customer Support,Best app I've used this year.
RES_0053,2026-04-05 02:50:08.408909,56.0,Female,ME-Africa,PhD,,1,Mobile,Monthly,Customer Support,Good experience overall.
RES_0054,2026-03-27 10:50:08.408909,74.0,Male,Europe,Bachelor,5.0,6,Desktop,Daily,Feature Set,Exceeded my expectations.
RES_0055,2026-04-11 08:50:08.408909,34.0,Female,Asia-Pacific,Master,4.0,2,Smart Watch,Monthly,Feature Set,Good experience overall.
RES_0056,2026-04-07 22:50:08.408909,,Female,Asia-Pacific,Bachelor,4.0,7,Tablet,Rarely,Feature Set,Good experience overall.
RES_0057,2026-03-26 16:50:08.408909,39.0,Female,Europe,PhD,2.0,6,Tablet,Weekly,Performance,Slow performance at times.
RES_0058,2026-04-10 23:50:08.409686,43.0,Male,North America,Master,3.0,7,Desktop,Weekly,Customer Support,"It's okay, does what it needs to do."
RES_0059,2026-04-19 11:50:08.409686,61.0,Male,Europe,PhD,3.0,6,Mobile,Monthly,User Interface,Needs more updates.
RES_0060,2026-04-11 23:50:08.409686,42.0,Male,ME-Africa,Master,4.0,10,Mobile,Weekly,Pricing,Solid performance.
RES_0061,2026-04-09 04:50:08.409686,34.0,Non-Binary,North America,Master,5.0,5,Smart Watch,Rarely,Feature Set,Highly recommended.
RES_0062,2026-04-03 15:50:08.409686,30.0,Female,Asia-Pacific,Master,4.0,6,Tablet,Monthly,Feature Set,Works well but interface could be cleaner.
RES_0063,2026-04-17 20:50:08.409686,37.0,Female,Europe,Master,4.0,4,Smart Watch,Weekly,Customer Support,Good experience overall.
RES_0064,2026-04-19 18:50:08.409686,42.0,Female,Latin America,PhD,4.0,6,Tablet,Daily,Customer Support,Works well but interface could be cleaner.
RES_0065,2026-04-10 16:50:08.409686,21.0,Female,Latin America,Master,2.0,0,Desktop,Daily,Performance,Interface is confusing.
RES_0066,2026-03-25 14:50:08.409686,27.0,Male,ME-Africa,Master,4.0,0,Tablet,Rarely,Performance,Good experience overall.
RES_0067,2026-03-23 16:50:08.409686,,Non-Binary,Latin America,Bachelor,3.0,8,Smart Watch,Weekly,Feature Set,Some bugs but manageable.
RES_0068,2026-04-11 15:50:08.409686,58.0,Male,Europe,High School,3.0,4,Smart Watch,Rarely,Customer Support,"It's okay, does what it needs to do."
RES_0069,2026-04-08 21:50:08.409686,,Male,Europe,High School,2.0,4,Smart Watch,Monthly,User Interface,Interface is confusing.
RES_0070,2026-04-19 07:50:08.409686,35.0,Female,Latin America,Bachelor,4.0,2,Desktop,Daily,Pricing,Works well but interface could be cleaner.
RES_0071,2026-03-28 00:50:08.409686,64.0,Male,Europe,Bachelor,5.0,4,Tablet,Monthly,Customer Support,Exceeded my expectations.
RES_0072,2026-03-20 23:50:08.409686,53.0,Male,ME-Africa,PhD,3.0,2,Tablet,Weekly,Customer Support,"It's okay, does what it needs to do."
RES_0073,2026-04-15 20:50:08.409686,64.0,Female,North America,PhD,3.0,8,Smart Watch,Rarely,Performance,Average experience.
RES_0074,2026-04-08 15:50:08.409686,39.0,Male,ME-Africa,PhD,4.0,8,Tablet,Rarely,Pricing,Decent features for the price.
RES_0075,2026-03-29 20:50:08.409686,51.0,Female,ME-Africa,Bachelor,3.0,5,Mobile,Rarely,Feature Set,Average experience.
RES_0076,2026-04-19 20:50:08.409686,64.0,Male,Europe,Bachelor,5.0,0,Mobile,Monthly,Customer Support,Best app I've used this year.
RES_0077,2026-04-15 08:50:08.409686,25.0,Male,North America,Master,4.0,6,Mobile,Daily,Feature Set,Solid performance.
RES_0078,2026-04-06 20:50:08.409686,57.0,Male,Europe,PhD,4.0,6,Tablet,Monthly,Customer Support,Decent features for the price.
RES_0079,2026-04-19 18:50:08.409686,66.0,Male,Asia-Pacific,PhD,4.0,9,Desktop,Monthly,Feature Set,Works well but interface could be cleaner.
RES_0080,2026-03-25 00:50:08.409686,61.0,Female,Europe,PhD,3.0,9,Desktop,Weekly,Pricing,Average experience.
RES_0081,2026-04-06 16:50:08.409686,36.0,Male,Europe,High School,4.0,3,Desktop,Weekly,Performance,Decent features for the price.
RES_0082,2026-03-24 14:50:08.409686,59.0,Female,Europe,Master,4.0,7,Desktop,Weekly,Pricing,Good experience overall.
RES_0083,2026-04-05 08:50:08.409686,58.0,Female,North America,PhD,5.0,5,Mobile,Daily,User Interface,"Love the interface, very intuitive!"
RES_0084,2026-03-25 13:50:08.409686,54.0,Female,Europe,PhD,3.0,3,Mobile,Daily,Performance,Average experience.
RES_0085,2026-03-23 10:50:08.409686,23.0,Non-Binary,North America,PhD,4.0,3,Smart Watch,Weekly,Pricing,Works well but interface could be cleaner.
RES_0086,2026-04-01 16:50:08.409686,69.0,Female,Latin America,High School,,1,Tablet,Weekly,User Interface,Good experience overall.
RES_0087,2026-04-03 03:50:08.409686,43.0,Male,Asia-Pacific,High School,1.0,1,Tablet,Daily,Customer Support,Completely broken.
RES_0088,2026-03-22 19:50:08.409686,51.0,Male,North America,Bachelor,4.0,3,Desktop,Rarely,Customer Support,Decent features for the price.
RES_0089,2026-03-21 18:50:08.409686,73.0,Male,Latin America,Master,4.0,4,Mobile,Daily,Feature Set,Decent features for the price.
RES_0090,2026-03-28 16:50:08.409686,62.0,Female,North America,Bachelor,5.0,7,Desktop,Daily,Performance,Exceeded my expectations.
RES_0091,2026-04-07 08:50:08.409686,23.0,Male,North America,Master,3.0,5,Smart Watch,Daily,Customer Support,Some bugs but manageable.
RES_0092,2026-04-09 19:50:08.409686,54.0,Female,Asia-Pacific,High School,5.0,3,Tablet,Weekly,Performance,Exceeded my expectations.
RES_0093,2026-04-07 16:50:08.409686,74.0,Female,ME-Africa,PhD,5.0,10,Tablet,Rarely,Customer Support,Exceeded my expectations.
RES_0094,2026-03-24 04:50:08.409686,50.0,Male,ME-Africa,Bachelor,5.0,6,Desktop,Daily,Feature Set,Exceeded my expectations.
RES_0095,2026-03-29 21:50:08.409686,70.0,Female,North America,PhD,2.0,7,Smart Watch,Weekly,Pricing,Slow performance at times.
RES_0096,2026-04-10 10:50:08.409686,39.0,Male,Europe,Bachelor,4.0,1,Tablet,Monthly,Feature Set,Decent features for the price.
RES_0097,2026-03-21 02:50:08.409686,38.0,Male,Latin America,High School,3.0,6,Smart Watch,Monthly,User Interface,Some bugs but manageable.
RES_0098,2026-04-14 11:50:08.409686,23.0,Female,Europe,High School,5.0,1,Smart Watch,Daily,Customer Support,"Love the interface, very intuitive!"
RES_0099,2026-04-08 03:50:08.409686,23.0,Female,Europe,High School,4.0,1,Desktop,Monthly,User Interface,Solid performance.
RES_0100,2026-03-21 12:50:08.409686,72.0,Female,North America,Bachelor,2.0,7,Mobile,Rarely,User Interface,Slow performance at times.
RES_0101,2026-03-25 00:50:08.409686,65.0,Male,North America,Master,4.0,1,Desktop,Monthly,Performance,Decent features for the price.
RES_0102,2026-03-23 16:50:08.409686,21.0,Male,North America,Bachelor,3.0,10,Mobile,Monthly,Customer Support,Needs more updates.
RES_0103,2026-03-21 22:50:08.409686,47.0,Female,North America,Master,5.0,8,Smart Watch,Rarely,User Interface,Exceeded my expectations.
RES_0104,2026-04-19 03:50:08.409686,28.0,Female,ME-Africa,Bachelor,5.0,0,Mobile,Daily,Pricing,Highly recommended.
RES_0105,2026-04-07 14:50:08.409686,47.0,Female,North America,Bachelor,4.0,8,Smart Watch,Daily,User Interface,Works well but interface could be cleaner.
RES_0106,2026-04-17 16:50:08.409686,48.0,Male,ME-Africa,High School,2.0,0,Tablet,Rarely,Pricing,Expected more.
RES_0107,2026-04-14 15:50:08.409686,41.0,Female,ME-Africa,PhD,4.0,9,Tablet,Rarely,Performance,Decent features for the price.
RES_0108,2026-03-24 14:50:08.409686,72.0,Male,North America,PhD,2.0,9,Tablet,Rarely,User Interface,Expected more.
RES_0109,2026-03-21 18:50:08.409686,26.0,Male,Asia-Pacific,Master,1.0,1,Desktop,Monthly,Feature Set,Customer support was unhelpful.
RES_0110,2026-04-19 04:50:08.409686,72.0,Non-Binary,Latin America,PhD,5.0,5,Desktop,Rarely,Performance,"Love the interface, very intuitive!"
RES_0111,2026-04-10 11:50:08.409686,20.0,Male,Europe,Bachelor,3.0,5,Smart Watch,Weekly,Pricing,"It's okay, does what it needs to do."
RES_0112,2026-03-27 08:50:08.409686,68.0,Prefer not to say,ME-Africa,Bachelor,4.0,0,Tablet,Monthly,Performance,Good experience overall.
RES_0113,2026-03-24 01:50:08.409686,48.0,Male,Latin America,High School,5.0,6,Desktop,Daily,User Interface,Exceeded my expectations.
RES_0114,2026-03-27 14:50:08.409686,57.0,Male,Asia-Pacific,High School,3.0,7,Tablet,Daily,Customer Support,Some bugs but manageable.
RES_0115,2026-03-31 06:50:08.409686,54.0,Female,Europe,PhD,3.0,1,Desktop,Daily,Customer Support,Average experience.
RES_0116,2026-03-21 06:50:08.409686,53.0,Female,Europe,Master,5.0,7,Mobile,Monthly,Pricing,"Love the interface, very intuitive!"
RES_0117,2026-03-25 03:50:08.409686,41.0,Female,ME-Africa,PhD,2.0,8,Mobile,Weekly,Pricing,Slow performance at times.
RES_0118,2026-04-08 16:50:08.409686,48.0,Female,North America,PhD,5.0,5,Tablet,Rarely,Customer Support,Highly recommended.
RES_0119,2026-04-18 20:50:08.409686,,Female,Asia-Pacific,PhD,5.0,4,Smart Watch,Rarely,Pricing,Highly recommended.
RES_0120,2026-04-03 18:50:08.409686,19.0,Female,ME-Africa,PhD,,8,Desktop,Daily,Performance,"Love the interface, very intuitive!"
RES_0121,2026-04-02 23:50:08.409686,37.0,Female,Asia-Pacific,Bachelor,4.0,10,Desktop,Daily,Feature Set,Works well but interface could be cleaner.
RES_0122,2026-04-03 06:50:08.409686,45.0,Male,North America,Master,3.0,8,Mobile,Monthly,Feature Set,Average experience.
RES_0123,2026-04-18 21:50:08.409686,28.0,Female,North America,Bachelor,3.0,0,Mobile,Weekly,Performance,Needs more updates.
RES_0124,2026-03-23 01:50:08.409686,21.0,Male,ME-Africa,Master,5.0,10,Smart Watch,Rarely,Feature Set,Best app I've used this year.
RES_0125,2026-03-28 18:50:08.409686,32.0,Prefer not to say,North America,High School,5.0,2,Smart Watch,Monthly,User Interface,"Love the interface, very intuitive!"
RES_0126,2026-04-19 22:50:08.409686,23.0,Non-Binary,Latin America,PhD,4.0,8,Smart Watch,Rarely,Performance,Decent features for the price.
RES_0127,2026-04-01 21:50:08.409686,71.0,Male,Europe,Bachelor,3.0,10,Tablet,Daily,Pricing,Some bugs but manageable.
RES_0128,2026-03-30 11:50:08.409686,66.0,Female,ME-Africa,Master,2.0,1,Mobile,Rarely,Performance,Slow performance at times.
RES_0129,2026-03-25 17:50:08.409686,47.0,Non-Binary,Asia-Pacific,High School,2.0,3,Tablet,Weekly,Customer Support,Interface is confusing.
RES_0130,2026-03-28 19:50:08.409686,73.0,Male,Latin America,High School,4.0,3,Mobile,Weekly,Pricing,Decent features for the price.
RES_0131,2026-03-28 12:50:08.409686,55.0,Female,ME-Africa,PhD,4.0,1,Mobile,Daily,Customer Support,Decent features for the price.
RES_0132,2026-03-27 06:50:08.409686,68.0,Non-Binary,North America,Master,,2,Desktop,Weekly,Pricing,Exceeded my expectations.
RES_0133,2026-04-13 23:50:08.409686,74.0,Male,North America,Bachelor,4.0,2,Mobile,Weekly,Feature Set,Decent features for the price.
RES_0134,2026-04-15 03:50:08.409686,19.0,Female,North America,PhD,3.0,0,Mobile,Monthly,Performance,Needs more updates.
RES_0135,2026-04-18 17:50:08.409686,32.0,Male,North America,Bachelor,4.0,5,Tablet,Rarely,User Interface,Decent features for the price.
RES_0136,2026-03-29 12:50:08.409686,28.0,Non-Binary,Asia-Pacific,High School,4.0,7,Mobile,Daily,Pricing,Works well but interface could be cleaner.
RES_0137,2026-04-04 07:50:08.409686,25.0,Prefer not to say,Latin America,Bachelor,4.0,2,Tablet,Daily,Pricing,Decent features for the price.
RES_0138,2026-04-19 14:50:08.409686,43.0,Non-Binary,Europe,Bachelor,4.0,4,Smart Watch,Daily,Customer Support,Good experience overall.
RES_0139,2026-03-23 17:50:08.409686,68.0,Female,Asia-Pacific,PhD,5.0,0,Mobile,Daily,Feature Set,Best app I've used this year.
RES_0140,2026-04-04 20:50:08.409686,62.0,Female,Asia-Pacific,Bachelor,,9,Mobile,Daily,Customer Support,Highly recommended.
RES_0141,2026-03-31 19:50:08.411313,61.0,Female,Europe,PhD,3.0,6,Tablet,Weekly,Customer Support,Needs more updates.
RES_0142,2026-04-01 20:50:08.411313,22.0,Male,Europe,High School,1.0,9,Smart Watch,Monthly,Feature Set,Terrible experience.
RES_0143,2026-04-01 03:50:08.411313,,Female,North America,PhD,4.0,0,Desktop,Daily,User Interface,Works well but interface could be cleaner.
RES_0144,2026-04-13 03:50:08.411313,43.0,Male,Asia-Pacific,PhD,2.0,10,Smart Watch,Monthly,Customer Support,Slow performance at times.
RES_0145,2026-04-11 22:50:08.411313,71.0,Female,ME-Africa,Master,3.0,8,Tablet,Monthly,Customer Support,Some bugs but manageable.
RES_0146,2026-04-12 16:50:08.411313,21.0,Male,Europe,Bachelor,1.0,7,Smart Watch,Weekly,Pricing,Waste of money.
RES_0147,2026-04-02 15:50:08.411313,36.0,Male,Europe,High School,4.0,6,Tablet,Daily,Feature Set,Decent features for the price.
RES_0148,2026-04-19 12:50:08.411313,37.0,Male,Latin America,PhD,3.0,9,Tablet,Weekly,Performance,Needs more updates.
RES_0149,2026-03-23 05:50:08.411313,50.0,Female,ME-Africa,High School,4.0,6,Desktop,Daily,User Interface,Solid performance.
RES_0150,2026-03-28 13:50:08.411313,37.0,Male,ME-Africa,Master,5.0,4,Mobile,Weekly,User Interface,Exceeded my expectations.
RES_0151,2026-04-17 16:50:08.411313,66.0,Female,Europe,Bachelor,2.0,4,Tablet,Monthly,Feature Set,Slow performance at times.
RES_0152,2026-03-23 07:50:08.411313,29.0,Male,North America,PhD,2.0,10,Tablet,Daily,Pricing,A bit frustrated with the glitches.
RES_0153,2026-03-25 07:50:08.411313,64.0,Male,Latin America,Bachelor,3.0,4,Desktop,Rarely,Pricing,Some bugs but manageable.
RES_0154,2026-03-26 03:50:08.411313,18.0,Female,ME-Africa,Master,5.0,0,Tablet,Monthly,Feature Set,"Love the interface, very intuitive!"
RES_0155,2026-03-23 06:50:08.411313,,Female,Europe,Master,3.0,7,Mobile,Rarely,Pricing,Average experience.
RES_0156,2026-04-18 22:50:08.411313,31.0,Male,ME-Africa,High School,4.0,10,Desktop,Monthly,User Interface,Decent features for the price.
RES_0157,2026-04-04 11:50:08.411313,55.0,Female,Latin America,PhD,2.0,0,Mobile,Weekly,User Interface,Slow performance at times.
RES_0158,2026-04-15 18:50:08.411313,54.0,Female,Latin America,High School,5.0,3,Mobile,Daily,Performance,Highly recommended.
RES_0159,2026-03-24 00:50:08.411313,28.0,Female,Asia-Pacific,Master,4.0,8,Desktop,Monthly,Feature Set,Decent features for the price.
RES_0160,2026-04-11 14:50:08.411313,53.0,Male,Europe,Bachelor,5.0,8,Tablet,Weekly,Customer Support,Exceeded my expectations.
RES_0161,2026-04-17 04:50:08.411313,30.0,Male,Latin America,High School,,4,Mobile,Daily,Customer Support,Exceeded my expectations.
RES_0162,2026-04-04 07:50:08.411313,60.0,Female,Asia-Pacific,High School,3.0,3,Mobile,Daily,Performance,Average experience.
RES_0163,2026-04-17 03:50:08.411313,20.0,Male,Asia-Pacific,Bachelor,5.0,2,Mobile,Monthly,Performance,"Love the interface, very intuitive!"
RES_0164,2026-03-27 01:50:08.411313,50.0,Female,ME-Africa,High School,2.0,2,Mobile,Daily,Pricing,A bit frustrated with the glitches.
RES_0165,2026-03-27 22:50:08.411313,23.0,Female,ME-Africa,Bachelor,5.0,4,Desktop,Monthly,Performance,Highly recommended.
RES_0166,2026-03-27 03:50:08.411313,67.0,Non-Binary,Asia-Pacific,PhD,4.0,9,Desktop,Daily,Performance,Solid performance.
